id,start,end,tags,hours
417,2024-08-05 04:57:27,2024-08-05 05:07:50,communication,0.17305555555555555
417,2024-08-05 04:57:27,2024-08-05 05:07:50,ttv,0.17305555555555555
416,2024-08-05 05:28:06,2024-08-05 05:55:08,communication,0.45055555555555554
416,2024-08-05 05:28:06,2024-08-05 05:55:08,ttv,0.45055555555555554
415,2024-08-05 05:59:46,2024-08-05 06:13:10,course registrations,0.22333333333333333
415,2024-08-05 05:59:46,2024-08-05 06:13:10,ttv,0.22333333333333333
414,2024-08-05 06:47:29,2024-08-05 07:04:02,course registrations,0.2758333333333333
414,2024-08-05 06:47:29,2024-08-05 07:04:02,ttv,0.2758333333333333
413,2024-08-05 07:28:16,2024-08-05 07:41:59,daily planning,0.2286111111111111
413,2024-08-05 07:28:16,2024-08-05 07:41:59,ttv,0.2286111111111111
412,2024-08-05 07:42:16,2024-08-05 08:04:02,communication,0.36277777777777775
412,2024-08-05 07:42:16,2024-08-05 08:04:02,ttv,0.36277777777777775
411,2024-08-05 09:41:32,2024-08-05 10:15:16,communication,0.5622222222222222
411,2024-08-05 09:41:32,2024-08-05 10:15:16,ttv,0.5622222222222222
410,2024-08-05 10:22:19,2024-08-05 10:29:29,course planning,0.11944444444444445
410,2024-08-05 10:22:19,2024-08-05 10:29:29,tic,0.11944444444444445
410,2024-08-05 10:22:19,2024-08-05 10:29:29,ttv,0.11944444444444445
409,2024-08-05 10:29:33,2024-08-05 10:40:55,reportronic,0.18944444444444444
409,2024-08-05 10:29:33,2024-08-05 10:40:55,ttv,0.18944444444444444
408,2024-08-05 11:17:51,2024-08-05 11:18:36,communication,0.0125
408,2024-08-05 11:17:51,2024-08-05 11:18:36,ttv,0.0125
407,2024-08-05 14:15:19,2024-08-05 14:56:23,reportronic,0.6844444444444444
407,2024-08-05 14:15:19,2024-08-05 14:56:23,ttv,0.6844444444444444
406,2024-08-06 06:18:55,2024-08-06 06:45:48,communication,0.44805555555555554
406,2024-08-06 06:18:55,2024-08-06 06:45:48,ttv,0.44805555555555554
405,2024-08-06 06:46:28,2024-08-06 07:09:46,e-ahot tic,0.3883333333333333
405,2024-08-06 06:46:28,2024-08-06 07:09:46,tic,0.3883333333333333
404,2024-08-06 07:11:18,2024-08-06 07:26:31,course registrations,0.2536111111111111
